id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
4579,coles park,18100,10,848,$0.04,4,20,https://www.mappls.com/place-coles+park-ward+no+91-promenade+road-cleveland+town-pulkeshi+nagar-bengaluru-karnataka-560005-DS1S17@zdata=MTIuOTk0Nys3Ny42MDkxKzE3K0RTMVMxNysred,Bengaluru,Karnataka,India,South,Bengaluru,,,,,mappls.com,coles park,,place ward no 91 promenade road cleveland town pulkeshi nagar 560005 ds1s17 zdata mtiuotk0nys3ny42mdkxkze3k0rtmvmxnysred,1
4580,chandigarh bus terminus,22200,13,271,$0.15,5,22,https://www.mappls.com/place-sector+43+inter+state+bus+terminus-sector+43-chandigarh-160043-s22ba5@zdata=MzAuNzE2MzYxKzc2Ljc0NDQ1NSsxNytzMjJiYTUrKw==ed,Chandigarh,Chandigarh,India,North,Chandigarh,,,,,mappls.com,bus terminus,,place sector 43 inter state sector 43 160043 s22ba5 zdata mzaunze2mzyxkzc2ljc0ndq1nssxnytzmjjiyturkw ed,1
4581,cafe de piccolo,18100,30,38,$0,3,19,https://www.mappls.com/8yfzh3,,,,,,,,,,mappls.com,,,8yfzh3,1
4582,burdwan hospital,18100,34,38,$0,1,23,https://www.mappls.com/25qwvw,,,,,,,,,,mappls.com,,,25qwvw,1
4583,bulandshahr up pin code,18100,50,38,$0,1,10,https://www.mappls.com/place-bulandshahar+post+office-moti+bagh+kotiyat-bulandshahr-uttar+pradesh-203001-87TAD7@zdata=MjguNDA0NjA5Kzc3Ljg1NjY3OSsxNys4N1RBRDcrKw==ed,,,,,,,,,,mappls.com,bulandshahr,,place bulandshahar post office moti bagh kotiyat uttar pradesh 203001 87tad7 zdata mjgunda0nja5kzc3ljg1njy3ossxnys4n1rbrdcrkw ed,1
4584,bishnupur bus stand,18100,2,2932,$0,1,18,https://www.mappls.com/place-bishnupur+bus+stand-bishnupur+loop+road-mayra+pukur-bishnupur-west+bengal-722122-5cfe64@zdata=MjMuMDY3MTE5Kzg3LjMxMTYyMysxNys1Y2ZlNjQrKw==ed,,,,,,,,,,mappls.com,bishnupur bus stand,,place bishnupur loop road mayra pukur bishnupur bengal 722122 5cfe64 zdata mjmumdy3mte5kzg3ljmxmtyymysxnys1y2zlnjqrkw ed,1
4585,jntu kukatpally,18100,28,38,$0.61,7,26,https://www.mappls.com/d8ac6f,,,,,,,,,,mappls.com,,,d8ac6f,1
4586,jagannath mandir bangalore,18100,30,38,$0.06,1,16,https://www.mappls.com/f3ta23,,,,,,,,,,mappls.com,,,f3ta23,1
4587,ishwar nagar,18100,29,38,$0.06,3,16,https://www.mappls.com/place-ishwar+nagar+bus+stop-mathura+road-ishwar+nagar-new+delhi-delhi-110065-TZ27J3@zdata=MjguNTYxNTM4Kzc3LjI2NjE2MisxNytUWjI3SjMrK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,ishwar nagar,,place bus stop mathura road ishwar nagar new 110065 tz27j3 zdata mjguntyxntm4kzc3lji2nje2misxnytuwji3sjmrk25yed,1
4588,hotel gokulam park kaloor,18100,40,38,$0.29,22,19,https://www.mappls.com/tgkjr4,,,,,,,,,,mappls.com,,,tgkjr4,1
